Date : 2023-05-27 23:03:41
Directory : c:\Users\oscar\Proyect1
Total : 270 files,  27136 codes, 463 comments, 1949 blanks, all 29548 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app                                                                                                     |        233 |      9,935 |        279 |      1,835 |     12,049 |
| src\app (Files)                                                                                             |          6 |        153 |          3 |         27 |        183 |
| src\app\account                                                                                             |          6 |        233 |          4 |         48 |        285 |
| src\app\configuration                                                                                       |          6 |        161 |          0 |         39 |        200 |
| src\app\detail                                                                                              |        132 |      3,943 |         68 |        875 |      4,886 |
| src\app\detail (Files)                                                                                      |          6 |        999 |         10 |        179 |      1,188 |
| src\app\detail\modal-acredor                                                                                |          6 |        101 |          2 |         29 |        132 |
| src\app\detail\modal-acuerdo                                                                                |          6 |        207 |          4 |         48 |        259 |
| src\app\detail\modal-arrendador                                                                             |          6 |        130 |          8 |         35 |        173 |
| src\app\detail\modal-arrendatario                                                                           |          6 |        120 |          3 |         31 |        154 |
| src\app\detail\modal-beneficiario                                                                           |          6 |        116 |          2 |         29 |        147 |
| src\app\detail\modal-cliente                                                                                |          6 |        164 |          8 |         33 |        205 |
| src\app\detail\modal-detallescheque                                                                         |          6 |        116 |          2 |         29 |        147 |
| src\app\detail\modal-deudor                                                                                 |          6 |        116 |          2 |         29 |        147 |
| src\app\detail\modal-empresa                                                                                |          6 |        142 |          8 |         40 |        190 |
| src\app\detail\modal-experiencia-cv                                                                         |          6 |        151 |          1 |         34 |        186 |
| src\app\detail\modal-formacion-cv                                                                           |          6 |        152 |          3 |         35 |        190 |
| src\app\detail\modal-garante                                                                                |          6 |        108 |          2 |         31 |        141 |
| src\app\detail\modal-habilidades-cv                                                                         |          6 |        151 |          1 |         34 |        186 |
| src\app\detail\modal-idiom-cv                                                                               |          6 |        173 |          0 |         35 |        208 |
| src\app\detail\modal-pago                                                                                   |          6 |        145 |          0 |         30 |        175 |
| src\app\detail\modal-prestamista                                                                            |          6 |        108 |          2 |         29 |        139 |
| src\app\detail\modal-prestamo                                                                               |          6 |        132 |          2 |         33 |        167 |
| src\app\detail\modal-prestatario                                                                            |          6 |        108 |          2 |         30 |        140 |
| src\app\detail\modal-productos                                                                              |          6 |        177 |          2 |         37 |        216 |
| src\app\detail\modal-renta                                                                                  |          6 |        178 |          1 |         34 |        213 |
| src\app\detail\modal-user-cv                                                                                |          6 |        149 |          3 |         31 |        183 |
| src\app\home                                                                                                |          6 |        137 |          3 |         29 |        169 |
| src\app\login                                                                                               |          6 |        359 |          4 |         70 |        433 |
| src\app\modal-terminos-y-condiciones                                                                        |          6 |        114 |          0 |         30 |        144 |
| src\app\register                                                                                            |          6 |        279 |          5 |         54 |        338 |
| src\app\services                                                                                            |         34 |      3,415 |        175 |        431 |      4,021 |
| src\app\services (Files)                                                                                    |         22 |      2,066 |        111 |        305 |      2,482 |
| src\app\services\firestore                                                                                  |         12 |      1,349 |         64 |        126 |      1,539 |
| src\app\shared                                                                                              |          1 |          6 |          0 |          1 |          7 |
| src\app\tab1                                                                                                |          6 |        291 |         10 |         63 |        364 |
| src\app\tab2                                                                                                |          6 |        482 |          5 |         87 |        574 |
| src\app\tab3                                                                                                |          6 |        260 |          2 |         54 |        316 |
| src\app\welcome                                                                                             |          6 |        102 |          0 |         27 |        129 |
| src\assets                                                                                                  |          4 |        105 |          0 |          5 |        110 |
| src\environments                                                                                            |          2 |         26 |         37 |          6 |         69 |
| src\theme                                                                                                   |          1 |        176 |         24 |         39 |        239 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\oscar\Proyect1\.eslintrc.json                                                                      | JSON with Comments |         46 |          0 |          1 |         47 |
| c:\Users\oscar\Proyect1\angular.json                                                                        | JSON               |        157 |          8 |          0 |        165 |
| c:\Users\oscar\Proyect1\capacitor.config.ts                                                                 | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\oscar\Proyect1\config\proyect1-80428-firebase-adminsdk-gt3on-77b4cfaffc.json                       | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\oscar\Proyect1\database.rules.json                                                                 | JSON               |          6 |          1 |          0 |          7 |
| c:\Users\oscar\Proyect1\firebase.json                                                                       | JSON               |          7 |         15 |          0 |         22 |
| c:\Users\oscar\Proyect1\firestore.indexes.json                                                              | JSON               |          4 |          0 |          1 |          5 |
| c:\Users\oscar\Proyect1\ionic.config.json                                                                   | JSON               |          7 |          0 |          1 |          8 |
| c:\Users\oscar\Proyect1\ios\App\App.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                       | XML                |          8 |          0 |          1 |          9 |
| c:\Users\oscar\Proyect1\ios\App\App\AppDelegate.swift                                                       | Swift              |         25 |         13 |         12 |         50 |
| c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\AppIcon.appiconset\Contents.json                        | JSON               |        116 |          0 |          0 |        116 |
| c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\Contents.json                                           | JSON               |          6 |          0 |          0 |          6 |
| c:\Users\oscar\Proyect1\ios\App\App\Assets.xcassets\Splash.imageset\Contents.json                           | JSON               |         23 |          0 |          0 |         23 |
| c:\Users\oscar\Proyect1\ios\App\App\Base.lproj\LaunchScreen.storyboard                                      | XML                |         31 |          1 |          1 |         33 |
| c:\Users\oscar\Proyect1\ios\App\App\Base.lproj\Main.storyboard                                              | XML                |         18 |          1 |          1 |         20 |
| c:\Users\oscar\Proyect1\ios\App\App\Info.plist                                                              | XML                |         49 |          0 |          1 |         50 |
| c:\Users\oscar\Proyect1\karma.conf.js                                                                       | JavaScript         |         37 |          6 |          2 |         45 |
| c:\Users\oscar\Proyect1\package-lock.json                                                                   | JSON               |     16,025 |          0 |          1 |     16,026 |
| c:\Users\oscar\Proyect1\package.json                                                                        | JSON               |         84 |          0 |          1 |         85 |
| c:\Users\oscar\Proyect1\public\404.html                                                                     | HTML               |         32 |          0 |          2 |         34 |
| c:\Users\oscar\Proyect1\public\index.html                                                                   | HTML               |         79 |          6 |          5 |         90 |
| c:\Users\oscar\Proyect1\src\app\account\account-routing.module.ts                                           | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\account\account.module.ts                                                   | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\account\account.page.html                                                   | HTML               |         25 |          0 |          3 |         28 |
| c:\Users\oscar\Proyect1\src\app\account\account.page.scss                                                   | SCSS               |         73 |          0 |         12 |         85 |
| c:\Users\oscar\Proyect1\src\app\account\account.page.spec.ts                                                | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\account\account.page.ts                                                     | TypeScript         |         86 |          4 |         18 |        108 |
| c:\Users\oscar\Proyect1\src\app\app-routing.module.ts                                                       | TypeScript         |         60 |          3 |          6 |         69 |
| c:\Users\oscar\Proyect1\src\app\app.component.html                                                          | HTML               |          3 |          0 |          1 |          4 |
| c:\Users\oscar\Proyect1\src\app\app.component.scss                                                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\Users\oscar\Proyect1\src\app\app.component.spec.ts                                                       | TypeScript         |         16 |          0 |          6 |         22 |
| c:\Users\oscar\Proyect1\src\app\app.component.ts                                                            | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\oscar\Proyect1\src\app\app.module.ts                                                               | TypeScript         |         65 |          0 |         10 |         75 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration-routing.module.ts                               | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration.module.ts                                       | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration.page.html                                       | HTML               |         21 |          0 |          4 |         25 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration.page.scss                                       | SCSS               |         62 |          0 |         10 |         72 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration.page.spec.ts                                    | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\configuration\configuration.page.ts                                         | TypeScript         |         29 |          0 |         10 |         39 |
| c:\Users\oscar\Proyect1\src\app\detail\detail-routing.module.ts                                             | TypeScript         |         98 |          0 |          5 |        103 |
| c:\Users\oscar\Proyect1\src\app\detail\detail.module.ts                                                     | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\detail.page.html                                                     | HTML               |        150 |          0 |         23 |        173 |
| c:\Users\oscar\Proyect1\src\app\detail\detail.page.scss                                                     | SCSS               |        136 |          5 |         26 |        167 |
| c:\Users\oscar\Proyect1\src\app\detail\detail.page.spec.ts                                                  | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\detail.page.ts                                                       | TypeScript         |        580 |          5 |        114 |        699 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor-routing.module.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.module.ts                                | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.html                                | HTML               |         17 |          0 |          2 |         19 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.scss                                | SCSS               |         10 |          0 |          2 |         12 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acredor\modal-acredor.page.ts                                  | TypeScript         |         25 |          2 |         10 |         37 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo-routing.module.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.module.ts                                | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.html                                | HTML               |         54 |          0 |          8 |         62 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.scss                                | SCSS               |         19 |          0 |          4 |         23 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-acuerdo\modal-acuerdo.page.ts                                  | TypeScript         |         85 |          4 |         21 |        110 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador-routing.module.ts                  | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.module.ts                          | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.html                          | HTML               |         29 |          0 |          3 |         32 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.scss                          | SCSS               |         18 |          0 |          4 |         22 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.spec.ts                       | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendador\modal-arrendador.page.ts                            | TypeScript         |         34 |          8 |         13 |         55 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario-routing.module.ts              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.module.ts                      | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.html                      | HTML               |         29 |          0 |          3 |         32 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.scss                      | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.spec.ts                   | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-arrendatario\modal-arrendatario.page.ts                        | TypeScript         |         33 |          3 |         11 |         47 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario-routing.module.ts              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.module.ts                      | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.html                      | HTML               |         25 |          0 |          2 |         27 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.scss                      | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.spec.ts                   | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-beneficiario\modal-beneficiario.page.ts                        | TypeScript         |         33 |          2 |         10 |         45 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente-routing.module.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.module.ts                                | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.html                                | HTML               |         47 |          0 |          3 |         50 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.scss                                | SCSS               |         13 |          0 |          3 |         16 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-cliente\modal-cliente.page.ts                                  | TypeScript         |         55 |          8 |         12 |         75 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque-routing.module.ts          | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.module.ts                  | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.html                  | HTML               |         25 |          0 |          2 |         27 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.scss                  | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.spec.ts               | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-detallescheque\modal-detallescheque.page.ts                    | TypeScript         |         33 |          2 |         10 |         45 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor-routing.module.ts                          | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.module.ts                                  | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.html                                  | HTML               |         25 |          0 |          2 |         27 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.scss                                  | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.spec.ts                               | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-deudor\modal-deudor.page.ts                                    | TypeScript         |         33 |          2 |         10 |         45 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa-routing.module.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.module.ts                                | TypeScript         |         17 |          0 |          5 |         22 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.html                                | HTML               |         33 |          0 |          4 |         37 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.scss                                | SCSS               |         14 |          0 |          6 |         20 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-empresa\modal-empresa.page.ts                                  | TypeScript         |         45 |          8 |         15 |         68 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv-routing.module.ts          | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.module.ts                  | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.html                  | HTML               |         26 |          0 |          3 |         29 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.scss                  | SCSS               |         24 |          0 |          4 |         28 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.spec.ts               | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-experiencia-cv\modal-experiencia-cv.page.ts                    | TypeScript         |         52 |          1 |         12 |         65 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv-routing.module.ts              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.module.ts                      | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.html                      | HTML               |         26 |          0 |          3 |         29 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.scss                      | SCSS               |         24 |          0 |          4 |         28 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.spec.ts                   | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-formacion-cv\modal-formacion-cv.page.ts                        | TypeScript         |         53 |          3 |         13 |         69 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante-routing.module.ts                        | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.module.ts                                | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.html                                | HTML               |         21 |          0 |          4 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.scss                                | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.spec.ts                             | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-garante\modal-garante.page.ts                                  | TypeScript         |         29 |          2 |         10 |         41 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv-routing.module.ts          | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.module.ts                  | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.html                  | HTML               |         26 |          0 |          3 |         29 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.scss                  | SCSS               |         24 |          0 |          4 |         28 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.spec.ts               | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-habilidades-cv\modal-habilidades-cv.page.ts                    | TypeScript         |         52 |          1 |         12 |         65 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv-routing.module.ts                      | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.module.ts                              | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.html                              | HTML               |         48 |          0 |          4 |         52 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.scss                              | SCSS               |         24 |          0 |          4 |         28 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.spec.ts                           | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.ts                                | TypeScript         |         52 |          0 |         12 |         64 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago-routing.module.ts                              | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.module.ts                                      | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.html                                      | HTML               |         42 |          0 |          2 |         44 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.scss                                      | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.spec.ts                                   | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.ts                                        | TypeScript         |         45 |          0 |         11 |         56 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista-routing.module.ts                | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.module.ts                        | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.html                        | HTML               |         21 |          0 |          2 |         23 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.scss                        | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.spec.ts                     | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.ts                          | TypeScript         |         29 |          2 |         10 |         41 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo-routing.module.ts                      | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.module.ts                              | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.html                              | HTML               |         32 |          0 |          4 |         36 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.scss                              | SCSS               |         18 |          0 |          4 |         22 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.spec.ts                           | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.ts                                | TypeScript         |         33 |          2 |         10 |         45 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario-routing.module.ts                | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.module.ts                        | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.html                        | HTML               |         21 |          0 |          3 |         24 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.scss                        | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.spec.ts                     | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.ts                          | TypeScript         |         29 |          2 |         10 |         41 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos-routing.module.ts                    | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.module.ts                            | TypeScript         |         16 |          0 |          5 |         21 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.html                            | HTML               |         35 |          0 |          4 |         39 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.scss                            | SCSS               |         24 |          0 |          4 |         28 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.spec.ts                         | TypeScript         |         19 |          0 |          6 |         25 |
| c:\Users\oscar\Proyect1\src\app\detail\modal-productos\modal-productos.page.ts                              | TypeScript         |         69 |          2 |         14 |         85 |
